PasoAlgoritmo,Ganancia
0,2520
1,1880
2,2180
3,1840
4,2960
5,1280
6,3240
7,1280
8,1640
9,2640
10,700
11,1440
12,460
13,660
14,800
15,1520
16,1660
17,1220
18,1760
19,440
20,2400
21,1960
22,460
23,1600
24,380
25,840
26,2060
27,3380
28,200
29,1040
30,1600
31,1280
32,1320
33,0
