PasoAlgoritmo,Ganancia
0,1680
1,1280
2,200
3,760
4,1780
5,740
6,380
7,220
8,440
9,2320
10,0
11,580
12,1700
13,720
14,2380
15,840
16,780
17,1540
18,1200
19,1200
20,1500
21,680
22,1820
23,780
24,360
25,1460
26,2280
27,2020
28,280
29,420
30,1200
31,1420
32,2220
33,1700
34,140
