PasoAlgoritmo,Ganancia
0,3320
1,1520
2,1360
3,860
4,860
5,1980
6,1560
7,2220
8,1380
9,3520
10,2020
11,2420
12,1540
13,1060
14,2440
15,2000
16,1580
17,1540
