DroneID,Tasa
ppalDrone,1
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,6
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,1
Drone_5,6
ppalDrone,9
Drone_1,1
Drone_2,0
Drone_3,8
Drone_4,1
Drone_5,1
ppalDrone,13
Drone_1,8
Drone_2,5
Drone_3,7
Drone_4,4
Drone_5,2
ppalDrone,19
Drone_1,5
Drone_2,0
Drone_3,1
Drone_4,7
Drone_5,1
ppalDrone,4
Drone_1,10
Drone_2,7
Drone_3,14
Drone_4,7
Drone_5,12
ppalDrone,11
Drone_1,1
Drone_2,2
Drone_3,10
Drone_4,20
Drone_5,13
ppalDrone,0
Drone_1,11
Drone_2,6
Drone_3,12
Drone_4,5
Drone_5,10
ppalDrone,0
Drone_1,31
Drone_2,8
Drone_3,5
Drone_4,1
Drone_5,5
