PasoAlgoritmo,Ganancia
0,900
1,520
2,720
3,80
4,780
5,380
6,560
7,820
8,380
9,0
10,180
11,760
12,360
13,340
14,60
15,200
16,0
17,420
18,420
19,0
20,680
21,300
22,100
23,0
24,200
25,0
26,160
27,0
28,360
29,0
30,160
31,60
32,120
33,0
34,200
35,0
36,0
37,0
38,0
39,0
40,0
41,0
