PasoAlgoritmo,Ganancia
0,1600
1,2060
2,2240
3,2860
4,680
5,960
6,600
7,1460
8,620
9,800
10,280
11,1160
12,1440
13,1220
14,580
15,900
16,1380
17,1240
18,340
19,1700
20,1340
21,880
22,980
23,1460
24,1560
25,1880
26,520
