PasoAlgoritmo,Ganancia
0,2500
1,680
2,2240
3,2060
4,1980
5,540
6,2520
7,2160
8,1960
9,3160
10,2900
11,1440
12,2320
13,2400
14,1280
15,2140
16,2100
17,1620
