DroneID,Tasa
ppalDrone,0
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,5
Drone_1,0
Drone_2,1
Drone_3,0
Drone_4,0
Drone_5,7
ppalDrone,9
Drone_1,3
Drone_2,3
Drone_3,4
Drone_4,5
Drone_5,5
ppalDrone,6
Drone_1,4
Drone_2,3
Drone_3,7
Drone_4,18
Drone_5,3
ppalDrone,4
Drone_1,9
Drone_2,9
Drone_3,4
Drone_4,7
Drone_5,11
ppalDrone,6
Drone_1,3
Drone_2,6
Drone_3,9
Drone_4,10
Drone_5,26
ppalDrone,20
Drone_1,11
Drone_2,14
Drone_3,14
Drone_4,7
Drone_5,15
ppalDrone,2
Drone_1,4
Drone_2,15
Drone_3,11
Drone_4,2
Drone_5,11
ppalDrone,3
Drone_1,15
Drone_2,6
Drone_3,5
Drone_4,1
Drone_5,9
