PasoAlgoritmo,Ganancia
0,1700
1,2180
2,400
3,1560
4,2260
5,980
6,1260
7,1140
8,3060
9,1400
10,1140
11,3320
12,700
13,420
14,3720
15,2620
16,2420
17,920
18,1380
19,580
20,1060
