DroneID,Tasa
ppalDrone,0
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,5
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,1
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,6
Drone_5,0
ppalDrone,1
Drone_1,6
Drone_2,9
Drone_3,0
Drone_4,1
Drone_5,0
ppalDrone,10
Drone_1,4
Drone_2,4
Drone_3,0
Drone_4,7
Drone_5,3
ppalDrone,1
Drone_1,11
Drone_2,10
Drone_3,6
Drone_4,11
Drone_5,5
ppalDrone,0
Drone_1,3
Drone_2,9
Drone_3,1
Drone_4,5
Drone_5,10
ppalDrone,0
Drone_1,8
Drone_2,19
Drone_3,10
Drone_4,12
Drone_5,13
ppalDrone,0
Drone_1,9
Drone_2,0
Drone_3,6
Drone_4,29
Drone_5,7
