PasoAlgoritmo,Ganancia
0,1780
1,1500
2,1600
3,1400
4,780
5,1580
6,100
7,1760
8,2300
9,1580
10,1300
11,2340
12,1500
13,2920
14,2320
15,2420
16,2260
17,400
18,960
