DroneID,Tasa
ppalDrone,0
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,13
Drone_1,0
Drone_2,0
Drone_3,1
Drone_4,0
Drone_5,0
ppalDrone,10
Drone_1,1
Drone_2,5
Drone_3,2
Drone_4,0
Drone_5,14
ppalDrone,12
Drone_1,11
Drone_2,0
Drone_3,1
Drone_4,2
Drone_5,4
ppalDrone,22
Drone_1,7
Drone_2,3
Drone_3,6
Drone_4,5
Drone_5,14
ppalDrone,20
Drone_1,2
Drone_2,7
Drone_3,4
Drone_4,10
Drone_5,17
ppalDrone,24
Drone_1,16
Drone_2,9
Drone_3,2
Drone_4,3
Drone_5,20
ppalDrone,16
Drone_1,1
Drone_2,21
Drone_3,5
Drone_4,13
Drone_5,12
ppalDrone,5
Drone_1,10
Drone_2,6
Drone_3,25
Drone_4,3
Drone_5,4
