PasoAlgoritmo,Ganancia
0,1800
1,2600
2,700
3,260
4,660
5,1300
6,1300
7,1100
8,1120
9,1040
10,2200
11,1680
12,740
13,300
14,100
15,1080
16,720
17,520
18,840
19,1200
20,2600
21,740
22,920
23,1220
24,880
25,1040
26,400
27,3160
28,380
29,2020
30,920
31,940
32,580
33,940
34,1540
35,840
36,880
37,2140
38,580
39,640
40,1220
41,860
42,920
43,2460
44,0
45,1240
46,1000
47,-40
48,2020
