PasoAlgoritmo,Ganancia
0,1920
1,1720
2,1080
3,1180
4,1160
5,1780
6,1480
7,1000
8,440
9,1400
10,1160
11,1280
12,640
13,2120
14,1720
15,1380
16,1300
17,180
18,1780
19,1600
20,520
21,580
22,1400
23,480
24,680
25,2100
26,2540
27,2480
28,680
29,680
30,2020
31,1380
32,3200
