PasoAlgoritmo,Ganancia
0,3380
1,1740
2,1320
3,200
4,1460
5,1080
6,460
7,1980
8,580
9,1460
10,920
11,420
12,880
13,580
14,1040
15,1080
16,1640
17,380
18,2000
19,940
20,620
21,1840
22,2220
23,280
24,780
25,920
26,900
27,2340
28,300
29,320
30,740
31,1180
32,140
33,200
34,1200
35,600
36,1580
37,660
38,960
39,-20
40,1060
41,3480
42,440
43,1440
44,1700
45,-20
46,1620
47,1080
48,1080
49,-20
