PasoAlgoritmo,Ganancia
0,400
1,598
2,400
3,1394
4,400
5,998
6,200
7,0
8,0
9,396
10,-1
11,599
12,200
13,396
14,-2
15,0
16,0
17,197
18,199
19,197
20,199
21,200
22,200
23,-1
24,599
25,198
26,200
27,-1
28,391
29,399
30,-1
31,200
32,199
33,598
34,199
35,-1
36,181
37,198
38,199
39,-2
