PasoAlgoritmo,Ganancia
0,200
1,540
2,20
3,380
4,0
5,480
6,520
7,20
8,160
9,360
10,580
11,260
12,180
13,200
14,500
15,180
16,0
17,400
18,460
19,260
20,340
21,100
22,80
23,360
24,180
25,200
26,300
27,200
28,380
29,500
30,180
31,200
32,60
33,400
34,100
35,860
36,0
37,0
38,220
39,480
40,0
41,0
42,540
43,0
44,0
45,200
46,0
47,0
48,100
49,0
50,0
51,0
52,0
53,0
54,0
