PasoAlgoritmo,Ganancia
0,2020
1,1120
2,340
3,1340
4,1840
5,1580
6,1240
7,560
8,180
9,400
10,460
11,700
12,1960
13,2320
14,940
15,1120
16,1000
17,2120
18,1340
19,2240
20,1700
21,520
22,1780
