PasoAlgoritmo,Ganancia
0,1860
1,500
2,600
3,2420
4,1500
5,1420
6,2300
7,1120
8,340
9,1220
10,900
11,1560
12,1360
13,400
14,660
15,580
16,1400
17,1640
18,200
19,720
20,1140
21,680
22,1180
23,2220
