PasoAlgoritmo,Ganancia
0,2680
1,940
2,1800
3,1160
4,560
5,2020
6,1760
7,1340
8,940
9,1760
10,2120
11,2340
12,2800
13,1740
14,1080
15,1840
16,2840
17,1320
18,2800
