PasoAlgoritmo,Ganancia
0,2000
1,1420
2,500
3,3360
4,1440
5,900
6,860
7,2280
8,240
9,3540
10,1520
11,1700
12,1320
13,1220
14,1600
15,2360
16,2900
17,1720
18,3020
19,1800
20,3800
21,100
22,2720
23,1380
