PasoAlgoritmo,Ganancia
0,4200
1,1720
2,1880
3,1460
4,1340
5,1980
6,460
7,1420
8,-60
9,660
10,660
11,300
12,1260
13,2120
14,1460
15,900
16,280
17,560
18,180
19,1600
20,900
21,1460
22,180
23,660
24,320
25,1160
26,140
27,1640
28,700
29,1800
30,720
31,560
32,120
33,1060
34,1760
35,660
36,660
37,880
