PasoAlgoritmo,Ganancia
0,2360
1,1240
2,1220
3,2540
4,1180
5,1260
6,1160
7,820
8,1920
9,620
10,1640
11,1700
12,1240
13,2500
14,2340
15,900
16,1320
17,1620
18,1320
19,560
20,2220
21,520
22,1160
23,2820
24,300
25,1540
26,500
27,2580
28,680
29,700
30,340
31,1520
32,3060
